"variable","value","report_assessed_lombok","report_positive_lombok","report_assessed_sumbawa","report_positive_sumbawa","report_assessed_all","report_positive_all"
"age_year_3groups","1 and below","17 (3.8%)","8 (47.1%)","156 (34.7%)","70 (44.9%)","173 (19.2%)","78 (45.1%)"
"age_year_3groups","1-2","165 (36.7%)","77 (46.7%)","191 (42.4%)","89 (46.6%)","356 (39.6%)","166 (46.6%)"
"age_year_3groups","3-5","268 (59.6%)","107 (39.9%)","103 (22.9%)","45 (43.7%)","371 (41.2%)","152 (41%)"
"antibiotic_past1mo","no","445 (98.9%)","191 (42.9%)","434 (96.4%)","199 (45.9%)","879 (97.7%)","390 (44.4%)"
"antibiotic_past1mo","yes","5 (1.1%)","1 (20%)","16 (3.6%)","5 (31.2%)","21 (2.3%)","6 (28.6%)"
"antibiotic_past3days","no","440 (97.8%)","185 (42%)","440 (97.8%)","201 (45.7%)","880 (97.8%)","386 (43.9%)"
"antibiotic_past3days","unknown","1 (0.2%)","1 (100%)",NA,NA,"1 (0.1%)","1 (100%)"
"antibiotic_past3days","yes","9 (2%)","6 (66.7%)","10 (2.2%)","3 (30%)","19 (2.1%)","9 (47.4%)"
"area","lombok",NA,NA,NA,NA,"450 (50%)","192 (42.7%)"
"area","sumbawa",NA,NA,NA,NA,"450 (50%)","204 (45.3%)"
"breastFeed_compiled","currently breastfeed","150 (33.3%)","73 (48.7%)","304 (67.6%)","138 (45.4%)","454 (50.4%)","211 (46.5%)"
"breastFeed_compiled","ever breastfeed","294 (65.3%)","116 (39.5%)","125 (27.8%)","56 (44.8%)","419 (46.6%)","172 (41.1%)"
"breastFeed_compiled","never breastfeed","6 (1.3%)","3 (50%)","21 (4.7%)","10 (47.6%)","27 (3%)","13 (48.1%)"
"contact_cigarettes","no","378 (84%)","164 (43.4%)","237 (52.7%)","98 (41.4%)","615 (68.3%)","262 (42.6%)"
"contact_cigarettes","yes","72 (16%)","28 (38.9%)","213 (47.3%)","106 (49.8%)","285 (31.7%)","134 (47%)"
"contact_cooking_fuel","kayu","8 (1.8%)","2 (25%)","24 (5.3%)","14 (58.3%)","32 (3.6%)","16 (50%)"
"contact_cooking_fuel","lpg/gas alam","442 (98.2%)","190 (43%)","417 (92.7%)","186 (44.6%)","859 (95.4%)","376 (43.8%)"
"contact_cooking_fuel","minyak tanah",NA,NA,"9 (2%)","4 (44.4%)","9 (1%)","4 (44.4%)"
"contact_cooking_place","di dalam rumah","347 (77.1%)","155 (44.7%)","444 (98.7%)","200 (45%)","791 (87.9%)","355 (44.9%)"
"contact_cooking_place","di luar rumah","103 (22.9%)","37 (35.9%)","6 (1.3%)","4 (66.7%)","109 (12.1%)","41 (37.6%)"
"contact_kindergarten","no","421 (93.6%)","176 (41.8%)","436 (96.9%)","202 (46.3%)","857 (95.2%)","378 (44.1%)"
"contact_kindergarten","yes","29 (6.4%)","16 (55.2%)","14 (3.1%)","2 (14.3%)","43 (4.8%)","18 (41.9%)"
"contact_otherChildren","no","120 (26.7%)","60 (50%)",NA,NA,"120 (13.3%)","60 (50%)"
"contact_otherChildren","yes","330 (73.3%)","132 (40%)","450 (100%)","204 (45.3%)","780 (86.7%)","336 (43.1%)"
"final_pneumo_decision","negative","258 (57.3%)","0 (0%)","246 (54.7%)","0 (0%)","504 (56%)","0 (0%)"
"final_pneumo_decision","positive","192 (42.7%)","0 (0%)","204 (45.3%)","0 (0%)","396 (44%)","0 (0%)"
"healthcareVisit_last_3mo","no","391 (86.9%)","171 (43.7%)","359 (79.8%)","163 (45.4%)","750 (83.3%)","334 (44.5%)"
"healthcareVisit_last_3mo","yes","59 (13.1%)","21 (35.6%)","91 (20.2%)","41 (45.1%)","150 (16.7%)","62 (41.3%)"
"hospitalised_last_3mo","no","437 (97.1%)","187 (42.8%)","440 (97.8%)","200 (45.5%)","877 (97.4%)","387 (44.1%)"
"hospitalised_last_3mo","unknown","3 (0.7%)","1 (33.3%)","2 (0.4%)","2 (100%)","5 (0.6%)","3 (60%)"
"hospitalised_last_3mo","yes","10 (2.2%)","4 (40%)","8 (1.8%)","2 (25%)","18 (2%)","6 (33.3%)"
"hospitalised_last_3mo_illness","demam","1 (0.2%)","0 (0%)",NA,NA,"1 (0.1%)","0 (0%)"
"hospitalised_last_3mo_illness","demam dan kejang","1 (0.2%)","1 (100%)",NA,NA,"1 (0.1%)","1 (100%)"
"hospitalised_last_3mo_illness","diare","5 (1.1%)","2 (40%)","4 (0.9%)","2 (50%)","9 (1%)","4 (44.4%)"
"hospitalised_last_3mo_illness","fharotitis",NA,NA,"2 (0.4%)","1 (50%)","2 (0.2%)","1 (50%)"
"hospitalised_last_3mo_illness","kejang dan demam",NA,NA,"1 (0.2%)","0 (0%)","1 (0.1%)","0 (0%)"
"hospitalised_last_3mo_illness","kejang-kejang","1 (0.2%)","1 (100%)",NA,NA,"1 (0.1%)","1 (100%)"
"hospitalised_last_3mo_illness","penyakit jantung bawaan",NA,NA,"2 (0.4%)","1 (50%)","2 (0.2%)","1 (50%)"
"hospitalised_last_3mo_illness","pneumonia","2 (0.4%)","0 (0%)","1 (0.2%)","0 (0%)","3 (0.3%)","0 (0%)"
"hospitalised_last_3mo_illness",NA,"440 (97.8%)","188 (42.7%)","440 (97.8%)","200 (45.5%)","880 (97.8%)","388 (44.1%)"
"hospitalised_last_3mo_illness_diarrhoea","yes","5 (1.1%)","2 (40%)","4 (0.9%)","2 (50%)","9 (1%)","4 (44.4%)"
"hospitalised_last_3mo_illness_diarrhoea",NA,"445 (98.9%)","190 (42.7%)","446 (99.1%)","202 (45.3%)","891 (99%)","392 (44%)"
"hospitalised_last_3mo_illness_pneumonia","no","2 (0.4%)","0 (0%)",NA,NA,"2 (0.2%)","0 (0%)"
"hospitalised_last_3mo_illness_pneumonia","yes","2 (0.4%)","0 (0%)","1 (0.2%)","0 (0%)","3 (0.3%)","0 (0%)"
"hospitalised_last_3mo_illness_pneumonia",NA,"446 (99.1%)","192 (43%)","449 (99.8%)","204 (45.4%)","895 (99.4%)","396 (44.2%)"
"house_building_regroup","bambu/triplek","1 (0.2%)","1 (100%)","154 (34.2%)","68 (44.2%)","155 (17.2%)","69 (44.5%)"
"house_building_regroup","batako","109 (24.2%)","52 (47.7%)",NA,NA,"109 (12.1%)","52 (47.7%)"
"house_building_regroup","batu bata","340 (75.6%)","139 (40.9%)","296 (65.8%)","136 (45.9%)","636 (70.7%)","275 (43.2%)"
"house_roof_regroup","asbes","10 (2.2%)","4 (40%)","57 (12.7%)","26 (45.6%)","67 (7.4%)","30 (44.8%)"
"house_roof_regroup","genteng","99 (22%)","36 (36.4%)","47 (10.4%)","17 (36.2%)","146 (16.2%)","53 (36.3%)"
"house_roof_regroup","others","9 (2%)","4 (44.4%)",NA,NA,"9 (1%)","4 (44.4%)"
"house_roof_regroup","seng","291 (64.7%)","131 (45%)","257 (57.1%)","119 (46.3%)","548 (60.9%)","250 (45.6%)"
"house_roof_regroup","spandek","41 (9.1%)","17 (41.5%)","89 (19.8%)","42 (47.2%)","130 (14.4%)","59 (45.4%)"
"house_window_regroup","bambu/kayu/terbuka","15 (3.3%)","5 (33.3%)","155 (34.4%)","71 (45.8%)","170 (18.9%)","76 (44.7%)"
"house_window_regroup","kaca/tirai","435 (96.7%)","187 (43%)","295 (65.6%)","133 (45.1%)","730 (81.1%)","320 (43.8%)"
"illness_past24h_cough","no","421 (93.6%)","183 (43.5%)","368 (81.8%)","160 (43.5%)","789 (87.7%)","343 (43.5%)"
