"variable","chisq_stat","chisq_df","chisq_p","chisq_method","fisher_or","fisher_or_lo","fisher_or_hi","fisher_p","fisher_method","significance"
"age_month",64.3396204053921,54,0.158428076207469,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,NA
"area",0.269512364903886,1,0.60365906969549,"Pearson's Chi-squared test with Yates' continuity correction",0.77370568628942,0.351452758641541,1.69547487449308,0.581802421603653,"Fisher's Exact Test for Count Data","no"
"sex",6.59807471683223e-05,1,0.993518971962376,"Pearson's Chi-squared test with Yates' continuity correction",1.0725694666557,0.487407146776955,2.35021865590194,0.856586932715463,"Fisher's Exact Test for Count Data","no"
"tribe",6.92300881315998,2,0.0313825144262851,"Pearson's Chi-squared test",NA,NA,NA,0.0346261710908412,"Fisher's Exact Test for Count Data","occur"
"breastMilk_given",0.631254774637128,1,0.426895427600197,"Pearson's Chi-squared test with Yates' continuity correction",0,0,2.81729725323423,0.376983861314038,"Fisher's Exact Test for Count Data","no"
"breastMilk_still_being_given",2.64171021993195e-30,1,0.999999999999999,"Pearson's Chi-squared test with Yates' continuity correction",0.991733243441687,0.450706948138813,2.17269407020062,1,"Fisher's Exact Test for Count Data","no"
"nTotal_people",14.030190388672,9,0.121255342939776,"Pearson's Chi-squared test",NA,NA,NA,0.224301181563986,"Fisher's Exact Test for Count Data","no"
"nTotal_child_5yo_andBelow",0.896733974913986,3,0.826215903806452,"Pearson's Chi-squared test",NA,NA,NA,0.869072419406806,"Fisher's Exact Test for Count Data","no"
"n_child_1yo_andBelow",0.183750382614019,1,0.668169836276358,"Pearson's Chi-squared test with Yates' continuity correction",Inf,0.208784689819886,Inf,1,"Fisher's Exact Test for Count Data","no"
"n_child_1to2yo",1.2260581061693,2,0.541707520599865,"Pearson's Chi-squared test",NA,NA,NA,0.645028886083294,"Fisher's Exact Test for Count Data","no"
"n_child_2to4yo",0.336313361896278,3,0.953060295233033,"Pearson's Chi-squared test",NA,NA,NA,1,"Fisher's Exact Test for Count Data","no"
"nTotal_child_5yo_andBelow_sleep",0.451994617718764,3,0.92930406264666,"Pearson's Chi-squared test",NA,NA,NA,0.999999999999999,"Fisher's Exact Test for Count Data","no"
"contact_kindergarten",0.0169035586799239,1,0.896555598332865,"Pearson's Chi-squared test with Yates' continuity correction",1.76311157667201,0.256698719743933,76.3018421462911,1,"Fisher's Exact Test for Count Data","no"
"contact_otherChildren",1.00736038502408,1,0.315536040561838,"Pearson's Chi-squared test with Yates' continuity correction",0.467537910860035,0.0881283825368269,1.58904837851136,0.325247081820355,"Fisher's Exact Test for Count Data","no"
"contact_cigarettes",0.0336799580476398,1,0.854389241670587,"Pearson's Chi-squared test with Yates' continuity correction",0.856473211858847,0.372783758553118,2.10554208564094,0.68495827384735,"Fisher's Exact Test for Count Data","no"
"contact_cooking_fuel",5.10244250516715,2,0.0779863667688807,"Pearson's Chi-squared test",NA,NA,NA,0.0874122712591584,"Fisher's Exact Test for Count Data","no"
"contact_cooking_place",2.19101958623218,1,0.138817397999017,"Pearson's Chi-squared test with Yates' continuity correction",0.450335900963363,0.172425344977124,1.32574033921457,0.0887312802659925,"Fisher's Exact Test for Count Data","no"
"hospitalised_last_3mo",0.883596943309046,2,0.64287918077921,"Pearson's Chi-squared test",NA,NA,NA,1,"Fisher's Exact Test for Count Data","no"
"hospitalised_last_3mo_n",2.00344436082531e-29,1,0.999999999999996,"Pearson's Chi-squared test with Yates' continuity correction",Inf,0.0966245351455699,Inf,1,"Fisher's Exact Test for Count Data","no"
"hospitalised_last_3mo_illness",NA,4,NA,"Pearson's Chi-squared test",NA,NA,NA,1,"Fisher's Exact Test for Count Data",NA
"healthcareVisit_last_3mo",0.144717369706503,1,0.70363562829044,"Pearson's Chi-squared test with Yates' continuity correction",0.736468314725745,0.275902180003329,2.310541833637,0.600469442390643,"Fisher's Exact Test for Count Data","no"
"healthcareVisit_last_3mo_n",1.36741441955508,2,0.504742333921097,"Pearson's Chi-squared test",NA,NA,NA,0.607903612982463,"Fisher's Exact Test for Count Data","no"
"healthcareVisit_last_3mo_reason",25.4277777777778,13,0.020269036139247,"Pearson's Chi-squared test",NA,NA,NA,0.0176526310586338,"Fisher's Exact Test for Count Data","occur"
"illness_past3days_fever",0.456836263958996,2,0.795791444407998,"Pearson's Chi-squared test",NA,NA,NA,0.999999999999999,"Fisher's Exact Test for Count Data","no"
"illness_past3days_fever_nDays",6.12029818579316,6,0.409850126223811,"Pearson's Chi-squared test",NA,NA,NA,0.547489146195439,"Fisher's Exact Test for Count Data","no"
"illness_past24h_cough",2.53835012771853,1,0.111110834832695,"Pearson's Chi-squared test with Yates' continuity correction",5.50094947108959,0.871152295233589,229.366290418566,0.0642499075982764,"Fisher's Exact Test for Count Data","no"
"illness_past24h_runny_nose",0.209974550541061,1,0.646787351758055,"Pearson's Chi-squared test with Yates' continuity correction",1.32166173960434,0.551701683551375,3.5211061252808,0.687144142599415,"Fisher's Exact Test for Count Data","no"
"illness_past24h_difficulty_breathing",1.62821425751257e-30,1,0.999999999999999,"Pearson's Chi-squared test with Yates' continuity correction",Inf,0.00278079044117645,Inf,1,"Fisher's Exact Test for Count Data","no"
"antibiotic_past3days",1.11121044162346,2,0.573724925834421,"Pearson's Chi-squared test",NA,NA,NA,1,"Fisher's Exact Test for Count Data","no"
