"variable","row","col","stdres"
"age_month","MDR","4",1.96754947334863
"age_month","non-MDR","4",-1.96754947334863
"age_month","MDR","5",0.780141136442337
"age_month","non-MDR","5",-0.780141136442338
"age_month","MDR","6",1.92670340410625
"age_month","non-MDR","6",-1.92670340410625
"age_month","MDR","7",-0.739789008695319
"age_month","non-MDR","7",0.739789008695319
"age_month","MDR","8",0.780141136442337
"age_month","non-MDR","8",-0.780141136442338
"age_month","MDR","9",2.42067473662237
"age_month","non-MDR","9",-2.42067473662237
"age_month","MDR","10",-0.739789008695319
"age_month","non-MDR","10",0.739789008695319
"age_month","MDR","11",0.577967657796159
"age_month","non-MDR","11",-0.57796765779616
"age_month","MDR","12",0.96085854182043
"age_month","non-MDR","12",-0.96085854182043
"age_month","MDR","13",-0.998528328856729
"age_month","non-MDR","13",0.998528328856729
"age_month","MDR","14",-1.1072750815264
"age_month","non-MDR","14",1.1072750815264
"age_month","MDR","15",-1.05413966893551
"age_month","non-MDR","15",1.05413966893551
"age_month","MDR","16",0.700811204754221
"age_month","non-MDR","16",-0.700811204754221
"age_month","MDR","17",-1.38928910727843
"age_month","non-MDR","17",1.38928910727843
"age_month","MDR","18",-0.166721850583907
"age_month","non-MDR","18",0.166721850583906
"age_month","MDR","19",-0.902659582673212
"age_month","non-MDR","19",0.902659582673213
"age_month","MDR","20",1.83674289479635
"age_month","non-MDR","20",-1.83674289479635
"age_month","MDR","21",-0.877962737473073
"age_month","non-MDR","21",0.877962737473073
"age_month","MDR","22",-0.877962737473073
"age_month","non-MDR","22",0.877962737473073
"age_month","MDR","23",-0.877962737473073
"age_month","non-MDR","23",0.877962737473073
"age_month","MDR","24",-0.676741584750232
"age_month","non-MDR","24",0.676741584750234
"age_month","MDR","25",0.410476085052346
"age_month","non-MDR","25",-0.410476085052345
"age_month","MDR","26",-1.1072750815264
"age_month","non-MDR","26",1.1072750815264
"age_month","MDR","27",-0.93999837409915
"age_month","non-MDR","27",0.939998374099151
"age_month","MDR","28",1.11163819633199
"age_month","non-MDR","28",-1.11163819633199
"age_month","MDR","29",0.780141136442337
"age_month","non-MDR","29",-0.780141136442338
"age_month","MDR","30",0.577967657796159
"age_month","non-MDR","30",-0.57796765779616
"age_month","MDR","31",-0.739789008695319
"age_month","non-MDR","31",0.739789008695319
"age_month","MDR","32",-0.465796427366345
"age_month","non-MDR","32",0.465796427366345
"age_month","MDR","33",-0.571330086050867
"age_month","non-MDR","33",0.571330086050866
"age_month","MDR","35",-0.328880221039756
"age_month","non-MDR","35",0.328880221039757
"age_month","MDR","36",-0.660699073726327
"age_month","non-MDR","36",0.660699073726328
"age_month","MDR","37",-0.465796427366345
"age_month","non-MDR","37",0.465796427366345
"age_month","MDR","38",-0.328880221039756
"age_month","non-MDR","38",0.328880221039757
"age_month","MDR","39",0.780141136442337
"age_month","non-MDR","39",-0.780141136442338
"age_month","MDR","40",4.31920323557884
"age_month","non-MDR","40",-4.31920323557884
"age_month","MDR","41",1.92670340410625
"age_month","non-MDR","41",-1.92670340410625
"age_month","MDR","42",-0.328880221039756
"age_month","non-MDR","42",0.328880221039757
"age_month","MDR","43",-0.328880221039756
"age_month","non-MDR","43",0.328880221039757
"age_month","MDR","44",-0.465796427366345
"age_month","non-MDR","44",0.465796427366345
"age_month","MDR","45",-0.328880221039756
"age_month","non-MDR","45",0.328880221039757
"age_month","MDR","46",-0.739789008695319
"age_month","non-MDR","46",0.739789008695319
"age_month","MDR","47",-0.328880221039756
"age_month","non-MDR","47",0.328880221039757
"age_month","MDR","48",-0.739789008695319
"age_month","non-MDR","48",0.739789008695319
"age_month","MDR","49",-0.571330086050867
"age_month","non-MDR","49",0.571330086050866
"age_month","MDR","50",-0.739789008695319
"age_month","non-MDR","50",0.739789008695319
"age_month","MDR","51",0.780141136442337
"age_month","non-MDR","51",-0.780141136442338
"age_month","MDR","52",-0.328880221039756
"age_month","non-MDR","52",0.328880221039757
"age_month","MDR","53",1.0360962747072
"age_month","non-MDR","53",-1.03609627470719
"age_month","MDR","54",1.0360962747072
"age_month","non-MDR","54",-1.03609627470719
"age_month","MDR","55",-0.465796427366345
"age_month","non-MDR","55",0.465796427366345
"age_month","MDR","56",-0.465796427366345
"age_month","non-MDR","56",0.465796427366345
"age_month","MDR","57",-0.465796427366345
"age_month","non-MDR","57",0.465796427366345
"age_month","MDR","58",-0.465796427366345
"age_month","non-MDR","58",0.465796427366345
"age_month","MDR","59",-0.166721850583907
"age_month","non-MDR","59",0.166721850583906
"area","MDR","lombok",-0.703043846240312
"area","non-MDR","lombok",0.703043846240314
"area","MDR","sumbawa",0.703043846240311
"area","non-MDR","sumbawa",-0.703043846240314
"sex","MDR","laki-laki",0.191699339964606
"sex","non-MDR","laki-laki",-0.191699339964608
"sex","MDR","perempuan",-0.191699339964607
"sex","non-MDR","perempuan",0.191699339964608
"tribe","MDR","bali",2.24660478784326
"tribe","non-MDR","bali",-2.24660478784326
"tribe","MDR","sasak",-1.89101459081547
"tribe","non-MDR","sasak",1.89101459081547
"tribe","MDR","sumbawa",0.811820792770214
"tribe","non-MDR","sumbawa",-0.81182079277021
"breastMilk_given","MDR","no",-1.25492694168198
"breastMilk_given","non-MDR","no",1.25492694168198
"breastMilk_given","MDR","yes",1.25492694168198
"breastMilk_given","non-MDR","yes",-1.254926941682
"breastMilk_still_being_given","MDR","no",-0.0227083126191077
"breastMilk_still_being_given","non-MDR","no",0.0227083126191129
"breastMilk_still_being_given","MDR","yes",0.0227083126191077
"breastMilk_still_being_given","non-MDR","yes",-0.0227083126191129
"nTotal_people","MDR","1",-0.466563499246394
"nTotal_people","non-MDR","1",0.466563499246394
"nTotal_people","MDR","2",-0.542792675167547
"nTotal_people","non-MDR","2",0.542792675167545
"nTotal_people","MDR","3",0.12327439228283
"nTotal_people","non-MDR","3",-0.12327439228283
"nTotal_people","MDR","4",0.622118267339884
"nTotal_people","non-MDR","4",-0.622118267339884
"nTotal_people","MDR","5",-1.37178013009921
"nTotal_people","non-MDR","5",1.37178013009921
"nTotal_people","MDR","6",3.270133137065
"nTotal_people","non-MDR","6",-3.270133137065
"nTotal_people","MDR","7",-0.572273484902017
"nTotal_people","non-MDR","7",0.572273484902017
"nTotal_people","MDR","8",-0.812965252928372
"nTotal_people","non-MDR","8",0.812965252928372
"nTotal_people","MDR","9",-0.329420369485081
"nTotal_people","non-MDR","9",0.329420369485082
"nTotal_people","MDR","10",-0.329420369485081
"nTotal_people","non-MDR","10",0.329420369485082
"nTotal_child_5yo_andBelow","MDR","0",0.790691674145075
"nTotal_child_5yo_andBelow","non-MDR","0",-0.790691674145073
"nTotal_child_5yo_andBelow","MDR","1",-0.556956636115538
"nTotal_child_5yo_andBelow","non-MDR","1",0.556956636115537
"nTotal_child_5yo_andBelow","MDR","2",-0.571330086050867
"nTotal_child_5yo_andBelow","non-MDR","2",0.571330086050866
"nTotal_child_5yo_andBelow","MDR","3",-0.465796427366345
"nTotal_child_5yo_andBelow","non-MDR","3",0.465796427366345
"n_child_1yo_andBelow","MDR","0",0.998528328856729
"n_child_1yo_andBelow","non-MDR","0",-0.998528328856697
"n_child_1yo_andBelow","MDR","1",-0.998528328856729
"n_child_1yo_andBelow","non-MDR","1",0.998528328856729
"n_child_1to2yo","MDR","0",1.1072750815264
"n_child_1to2yo","non-MDR","0",-1.10727508152642
"n_child_1to2yo","MDR","1",-1.05413966893551
"n_child_1to2yo","non-MDR","1",1.05413966893551
"n_child_1to2yo","MDR","2",-0.328880221039756
"n_child_1to2yo","non-MDR","2",0.328880221039757
"n_child_2to4yo","MDR","0",0.0720945766695335
"n_child_2to4yo","non-MDR","0",-0.072094576669549
"n_child_2to4yo","MDR","1",0.115945412616038
