"variable","row","col","stdres"
"age_month","VT","4",1.35529167132221
"age_month","NVT","4",-1.54391524927783
"age_month","untypeable","4",0.485103774678017
"age_month","VT","5",-0.30618562019959
"age_month","NVT","5",0.775385831398414
"age_month","untypeable","5",-0.776500167945857
"age_month","VT","6",2.39549584088804
"age_month","NVT","6",-1.86770501051895
"age_month","untypeable","6",-0.488911027100037
"age_month","VT","7",-1.33387794938435
"age_month","NVT","7",1.71081571340575
"age_month","untypeable","7",-0.776500167945857
"age_month","VT","8",0.721506708985173
"age_month","NVT","8",-1.09547393261627
"age_month","untypeable","8",0.685908481685507
"age_month","VT","9",1.28210186405731
"age_month","NVT","9",-1.19803668189025
"age_month","untypeable","9",0.0485221815964343
"age_month","VT","10",0.721506708985173
"age_month","NVT","10",-0.160044050608925
"age_month","untypeable","10",-0.776500167945857
"age_month","VT","11",1.35529167132221
"age_month","NVT","11",-0.688707292570012
"age_month","untypeable","11",-0.851889555532128
"age_month","VT","12",1.49941827141088
"age_month","NVT","12",-0.621390351990365
"age_month","untypeable","12",-1.16222230482153
"age_month","VT","13",-0.259148249117967
"age_month","NVT","13",0.20484565027139
"age_month","untypeable","13",0.0485221815964343
"age_month","VT","14",-1.29729586343527
"age_month","NVT","14",1.28783619778064
"age_month","untypeable","14",-0.167289574178857
"age_month","VT","15",-1.1684791528083
"age_month","NVT","15",-0.228049863597625
"age_month","untypeable","15",2.01927145055038
"age_month","VT","16",-0.241682328799441
"age_month","NVT","16",-0.143769708686906
"age_month","untypeable","16",0.568677575281871
"age_month","VT","17",-0.802056142455368
"age_month","NVT","17",0.112784417208902
"age_month","untypeable","17",0.965005772316137
"age_month","VT","18",-0.747564987394743
"age_month","NVT","18",1.45811002564957
"age_month","untypeable","18",-1.21575630891661
"age_month","VT","19",0.0145316253661552
"age_month","NVT","19",-0.263217884079341
"age_month","untypeable","19",0.390824363552889
"age_month","VT","20",0.180907204353057
"age_month","NVT","20",-0.712069272271031
"age_month","untypeable","20",0.855785417492792
"age_month","VT","21",1.90167067814472
"age_month","NVT","21",-1.93444873198627
"age_month","untypeable","21",0.318147470933736
"age_month","VT","22",-0.711841591683902
"age_month","NVT","22",1.23739223605893
"age_month","untypeable","22",-0.921530605463237
"age_month","VT","23",1.03049992153518
"age_month","NVT","23",-0.348528247963669
"age_month","untypeable","23",-0.921530605463237
"age_month","VT","24",-1.04066551320824
"age_month","NVT","24",0.955915373966448
"age_month","untypeable","24",-0.0135652169919069
"age_month","VT","25",-0.711841591683902
"age_month","NVT","25",1.23739223605893
"age_month","untypeable","25",-0.921530605463237
"age_month","VT","26",-1.29729586343527
"age_month","NVT","26",1.28783619778064
"age_month","untypeable","26",-0.167289574178857
"age_month","VT","27",-1.69486581840309
"age_month","NVT","27",2.17381438502421
"age_month","untypeable","27",-0.986644687576636
"age_month","VT","28",-1.1684791528083
"age_month","NVT","28",1.10486227018849
"age_month","untypeable","28",-0.064542923076953
"age_month","VT","29",0.721506708985173
"age_month","NVT","29",-0.160044050608925
"age_month","untypeable","29",-0.776500167945857
"age_month","VT","30",-0.52382438830245
"age_month","NVT","30",1.02170862084562
"age_month","untypeable","30",-0.851889555532128
"age_month","VT","31",-0.30618562019959
"age_month","NVT","31",0.775385831398414
"age_month","untypeable","31",-0.776500167945857
"age_month","VT","32",-0.839855115530468
"age_month","NVT","32",1.07718800606675
"age_month","untypeable","32",-0.488911027100037
"age_month","VT","33",-1.03013777529233
"age_month","NVT","33",0.117206973116825
"age_month","untypeable","33",1.28265245964494
"age_month","VT","35",-0.592988094818066
"age_month","NVT","35",0.760559353234323
"age_month","untypeable","35",-0.345200515106081
"age_month","VT","36",1.10328281402461
"age_month","NVT","36",-1.60492632500509
"age_month","untypeable","36",0.939094931663107
"age_month","VT","37",-0.839855115530468
"age_month","NVT","37",-0.395258502226104
"age_month","untypeable","37",1.81304505882931
"age_month","VT","38",1.69136377044698
"age_month","NVT","38",-1.31871178181758
"age_month","untypeable","38",-0.345200515106081
"age_month","VT","39",0.721506708985173
"age_month","NVT","39",-0.160044050608925
"age_month","untypeable","39",-0.776500167945857
"age_month","VT","40",2.39549584088804
"age_month","NVT","40",-1.86770501051895
"age_month","untypeable","40",-0.488911027100037
"age_month","VT","41",0.777820362678786
"age_month","NVT","41",-0.395258502226104
"age_month","untypeable","41",-0.488911027100037
"age_month","VT","42",-0.592988094818066
