"variable","chisq_stat","chisq_df","chisq_p","chisq_method","fisher_or","fisher_or_lo","fisher_or_hi","fisher_p","fisher_method","significance"
"age_month",119.875260053755,54,6.63975848151083e-07,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"sex",0.0306140096985893,1,0.861104309407749,"Pearson's Chi-squared test with Yates' continuity correction",0.939984920720031,0.598780447183754,1.47535086179614,0.827262640752084,"Fisher's Exact Test for Count Data","no"
"tribe",327.130001985502,2,9.21770142019304e-72,"Pearson's Chi-squared test",NA,NA,NA,7.62883562647227e-95,"Fisher's Exact Test for Count Data","occur"
"breastMilk_given",5.04377706602654,1,0.0247145469049273,"Pearson's Chi-squared test with Yates' continuity correction",0.217877954685158,0.0383209532417836,0.845545011016427,0.0137561223237667,"Fisher's Exact Test for Count Data","occur"
"breastMilk_still_being_given",25.0436153120287,1,5.60480353231135e-07,"Pearson's Chi-squared test with Yates' continuity correction",3.14126106494365,1.97021853941434,5.05324512828174,4.45809105998111e-07,"Fisher's Exact Test for Count Data","occur"
"nTotal_people",25.0909688600848,9,0.00287218228486763,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"nTotal_child_5yo_andBelow",10.8850213577647,3,0.0123641362763943,"Pearson's Chi-squared test",NA,NA,NA,0.00501572464734575,"Fisher's Exact Test for Count Data","occur"
"n_child_1yo_andBelow",0.0681576724467677,1,0.794038337766633,"Pearson's Chi-squared test with Yates' continuity correction",1.49818063768119,0.316293697288144,7.69151732685486,0.737117181741818,"Fisher's Exact Test for Count Data","no"
"n_child_1to2yo",3.62128461413471,2,0.163549054345249,"Pearson's Chi-squared test",NA,NA,NA,0.152428540506527,"Fisher's Exact Test for Count Data","no"
"n_child_2to4yo",21.5978169578655,3,7.90872288883652e-05,"Pearson's Chi-squared test",NA,NA,NA,7.45438674984504e-06,"Fisher's Exact Test for Count Data","occur"
"nTotal_child_5yo_andBelow_sleep",17.6146783990445,3,0.000528119486885115,"Pearson's Chi-squared test",NA,NA,NA,0.00011632822887192,"Fisher's Exact Test for Count Data","occur"
"contact_kindergarten",6.93805095175151,1,0.00843810084578678,"Pearson's Chi-squared test with Yates' continuity correction",0.147920899277184,0.0161481032389656,0.652178529522358,0.00462510165623568,"Fisher's Exact Test for Count Data","occur"
"contact_otherChildren",55.5281834548828,1,9.21286386259897e-14,"Pearson's Chi-squared test with Yates' continuity correction",Inf,17.6745306159641,Inf,6.80185911853843e-18,"Fisher's Exact Test for Count Data","occur"
"contact_cigarettes",37.2513942311936,1,1.03840726145008e-09,"Pearson's Chi-squared test with Yates' continuity correction",4.94593327814994,2.8525038866696,8.78976120952202,4.98716455901154e-10,"Fisher's Exact Test for Count Data","occur"
"contact_cooking_fuel",8.6116425025168,2,0.0134898024741761,"Pearson's Chi-squared test",NA,NA,NA,0.0104875646296587,"Fisher's Exact Test for Count Data","occur"
"contact_cooking_place",21.7164746641153,1,3.16065244132563e-06,"Pearson's Chi-squared test with Yates' continuity correction",0.109470830547085,0.027633166751236,0.316452652827581,3.97132886240566e-07,"Fisher's Exact Test for Count Data","occur"
"hospitalised_last_3mo",1.86859883137079,2,0.392861001397729,"Pearson's Chi-squared test",NA,NA,NA,0.457750775735272,"Fisher's Exact Test for Count Data","no"
"hospitalised_last_3mo_n",0.505508115956026,1,0.477089850475652,"Pearson's Chi-squared test with Yates' continuity correction",0.293131144471382,0.00590064608220183,3.00259948843756,0.380507924896102,"Fisher's Exact Test for Count Data","no"
"hospitalised_last_3mo_illness",4.27777777777778,4,0.36971604695748,"Pearson's Chi-squared test",NA,NA,NA,1,"Fisher's Exact Test for Count Data","no"
"healthcareVisit_last_3mo",3.57212722494085,1,0.058756996829164,"Pearson's Chi-squared test with Yates' continuity correction",1.88376198466644,0.978103102619301,3.69056538873235,0.0448046476181112,"Fisher's Exact Test for Count Data","occur"
"healthcareVisit_last_3mo_n",10.3864503504052,2,0.00555406506490757,"Pearson's Chi-squared test",NA,NA,NA,0.00332883962293187,"Fisher's Exact Test for Count Data","occur"
"healthcareVisit_last_3mo_reason",26.9435683364255,13,0.0126643323203577,"Pearson's Chi-squared test",NA,NA,NA,0.000743264942885917,"Fisher's Exact Test for Count Data","occur"
