"variable","row","col","stdres"
"age_month","lombok","4",-2.69275238957476
"age_month","sumbawa","4",2.69275238957476
"age_month","lombok","5",-1.55004028446776
"age_month","sumbawa","5",1.55004028446776
"age_month","lombok","6",-1.54540729835656
"age_month","sumbawa","6",1.54540729835656
"age_month","lombok","7",-1.55004028446776
"age_month","sumbawa","7",1.55004028446776
"age_month","lombok","8",-1.55004028446776
"age_month","sumbawa","8",1.55004028446776
"age_month","lombok","9",-3.31289137565091
"age_month","sumbawa","9",3.31289137565091
"age_month","lombok","10",-1.55004028446776
"age_month","sumbawa","10",1.55004028446776
"age_month","lombok","11",-2.69275238957476
"age_month","sumbawa","11",2.69275238957476
"age_month","lombok","12",-1.82776894721658
"age_month","sumbawa","12",1.82776894721658
"age_month","lombok","13",-1.27834395473486
"age_month","sumbawa","13",1.27834395473486
"age_month","lombok","14",-3.05838200204562
"age_month","sumbawa","14",3.05838200204562
"age_month","lombok","15",-0.91996753395878
"age_month","sumbawa","15",0.91996753395878
"age_month","lombok","16",-0.599553080837189
"age_month","sumbawa","16",0.599553080837189
"age_month","lombok","17",0.885619486734252
"age_month","sumbawa","17",-0.885619486734251
"age_month","lombok","18",0.877184856670316
"age_month","sumbawa","18",-0.877184856670316
"age_month","lombok","19",-0.643258619342793
"age_month","sumbawa","19",0.643258619342793
"age_month","lombok","20",-1.34679629201757
"age_month","sumbawa","20",1.34679629201757
"age_month","lombok","21",0.920452614976732
"age_month","sumbawa","21",-0.920452614976732
"age_month","lombok","22",0.920452614976732
"age_month","sumbawa","22",-0.920452614976732
"age_month","lombok","23",1.68711953506792
"age_month","sumbawa","23",-1.68711953506792
"age_month","lombok","24",-0.622204732241507
"age_month","sumbawa","24",0.622204732241507
"age_month","lombok","25",-0.612881225205637
"age_month","sumbawa","25",0.612881225205637
"age_month","lombok","26",0.0181506350269771
"age_month","sumbawa","26",-0.0181506350269771
"age_month","lombok","27",-0.245767293780112
"age_month","sumbawa","27",0.245767293780112
"age_month","lombok","28",0.368747317330585
"age_month","sumbawa","28",-0.368747317330585
"age_month","lombok","29",-0.645627794907396
"age_month","sumbawa","29",0.645627794907396
"age_month","lombok","30",0.614650001968152
"age_month","sumbawa","30",-0.614650001968152
"age_month","lombok","31",-0.645627794907396
"age_month","sumbawa","31",0.645627794907396
"age_month","lombok","32",-0.121784814272664
"age_month","sumbawa","32",0.121784814272664
"age_month","lombok","33",-0.731432790191841
"age_month","sumbawa","33",0.731432790191841
"age_month","lombok","35",0.919175492663589
"age_month","sumbawa","35",-0.919175492663589
"age_month","lombok","36",1.84656406114906
"age_month","sumbawa","36",-1.84656406114906
"age_month","lombok","37",1.30183766981123
"age_month","sumbawa","37",-1.30183766981123
"age_month","lombok","38",0.919175492663589
"age_month","sumbawa","38",-0.919175492663589
"age_month","lombok","39",2.06760967377369
"age_month","sumbawa","39",-2.06760967377369
"age_month","lombok","40",1.30183766981123
"age_month","sumbawa","40",-1.30183766981123
"age_month","lombok","41",1.30183766981123
"age_month","sumbawa","41",-1.30183766981123
"age_month","lombok","42",0.919175492663589
"age_month","sumbawa","42",-0.919175492663589
"age_month","lombok","43",0.919175492663589
"age_month","sumbawa","43",-0.919175492663589
"age_month","lombok","44",-0.121784814272664
"age_month","sumbawa","44",0.121784814272664
"age_month","lombok","45",0.919175492663589
"age_month","sumbawa","45",-0.919175492663589
"age_month","lombok","46",0.258784694652965
"age_month","sumbawa","46",-0.258784694652965
"age_month","lombok","47",0.919175492663589
"age_month","sumbawa","47",-0.919175492663589
"age_month","lombok","48",2.06760967377369
"age_month","sumbawa","48",-2.06760967377369
"age_month","lombok","49",1.59678989408078
"age_month","sumbawa","49",-1.59678989408078
"age_month","lombok","50",2.06760967377369
"age_month","sumbawa","50",-2.06760967377369
"age_month","lombok","51",2.06760967377369
"age_month","sumbawa","51",-2.06760967377369
"age_month","lombok","52",0.919175492663589
"age_month","sumbawa","52",-0.919175492663589
"age_month","lombok","53",1.84656406114906
"age_month","sumbawa","53",-1.84656406114906
"age_month","lombok","54",1.84656406114906
"age_month","sumbawa","54",-1.84656406114906
"age_month","lombok","55",1.30183766981123
"age_month","sumbawa","55",-1.30183766981123
"age_month","lombok","56",1.30183766981123
"age_month","sumbawa","56",-1.30183766981123
"age_month","lombok","57",1.30183766981123
"age_month","sumbawa","57",-1.30183766981123
"age_month","lombok","58",1.30183766981123
"age_month","sumbawa","58",-1.30183766981123
"age_month","lombok","59",3.23722982818807
"age_month","sumbawa","59",-3.23722982818807
"sex","lombok","laki-laki",-0.284203134355882
"sex","sumbawa","laki-laki",0.284203134355882
"sex","lombok","perempuan",0.284203134355882
"sex","sumbawa","perempuan",-0.284203134355882
"tribe","lombok","bali",4.34263045797172
"tribe","sumbawa","bali",-4.34263045797172
"tribe","lombok","sasak",15.8991337235908
"tribe","sumbawa","sasak",-15.8991337235908
"tribe","lombok","sumbawa",-18.0860572913418
"tribe","sumbawa","sumbawa",18.0860572913418
"breastMilk_given","lombok","no",-2.51979671472973
"breastMilk_given","sumbawa","no",2.51979671472973
"breastMilk_given","lombok","yes",2.51979671472973
"breastMilk_given","sumbawa","yes",-2.51979671472973
"breastMilk_still_being_given","lombok","no",5.11342282019931
"breastMilk_still_being_given","sumbawa","no",-5.11342282019931
"breastMilk_still_being_given","lombok","yes",-5.11342282019931
"breastMilk_still_being_given","sumbawa","yes",5.11342282019931
"nTotal_people","lombok","1",1.29764279044512
"nTotal_people","sumbawa","1",-1.29764279044512
"nTotal_people","lombok","2",2.30199299336226
"nTotal_people","sumbawa","2",-2.30199299336226
"nTotal_people","lombok","3",1.50482458827612
"nTotal_people","sumbawa","3",-1.50482458827612
"nTotal_people","lombok","4",-1.09459260494451
"nTotal_people","sumbawa","4",1.09459260494451
"nTotal_people","lombok","5",-1.82672909119619
"nTotal_people","sumbawa","5",1.82672909119619
"nTotal_people","lombok","6",-0.930619135627451
"nTotal_people","sumbawa","6",0.930619135627451
"nTotal_people","lombok","7",-1.90171365574713
"nTotal_people","sumbawa","7",1.90171365574713
"nTotal_people","lombok","8",-2.70155295314183
"nTotal_people","sumbawa","8",2.70155295314183
"nTotal_people","lombok","9",-1.09469201641992
"nTotal_people","sumbawa","9",1.09469201641992
"nTotal_people","lombok","10",-1.09469201641992
"nTotal_people","sumbawa","10",1.09469201641992
"nTotal_child_5yo_andBelow","lombok","0",2.85486743105394
"nTotal_child_5yo_andBelow","sumbawa","0",-2.85486743105394
"nTotal_child_5yo_andBelow","lombok","1",-2.09103301096291
"nTotal_child_5yo_andBelow","sumbawa","1",2.09103301096291
"nTotal_child_5yo_andBelow","lombok","2",-1.89554413232815
"nTotal_child_5yo_andBelow","sumbawa","2",1.89554413232815
"nTotal_child_5yo_andBelow","lombok","3",-1.54540729835656
"nTotal_child_5yo_andBelow","sumbawa","3",1.54540729835656
"n_child_1yo_andBelow","lombok","0",0.600161481096181
"n_child_1yo_andBelow","sumbawa","0",-0.600161481096181
"n_child_1yo_andBelow","lombok","1",-0.600161481096179
"n_child_1yo_andBelow","sumbawa","1",0.600161481096179
"n_child_1to2yo","lombok","0",-1.86407021727053
"n_child_1to2yo","sumbawa","0",1.86407021727053
"n_child_1to2yo","lombok","1",1.65746216861995
"n_child_1to2yo","sumbawa","1",-1.65746216861995
"n_child_1to2yo","lombok","2",0.919175492663589
"n_child_1to2yo","sumbawa","2",-0.919175492663589
"n_child_2to4yo","lombok","0",4.612174964135
"n_child_2to4yo","sumbawa","0",-4.612174964135
"n_child_2to4yo","lombok","1",-4.18664292204046
"n_child_2to4yo","sumbawa","1",4.18664292204046
"n_child_2to4yo","lombok","2",-1.54540729835656
"n_child_2to4yo","sumbawa","2",1.54540729835656
"n_child_2to4yo","lombok","3",-1.09115026225871
"n_child_2to4yo","sumbawa","3",1.09115026225871
"nTotal_child_5yo_andBelow_sleep","lombok","0",4.14292488298555
"nTotal_child_5yo_andBelow_sleep","sumbawa","0",-4.14292488298555
"nTotal_child_5yo_andBelow_sleep","lombok","1",-3.51446459489133
"nTotal_child_5yo_andBelow_sleep","sumbawa","1",3.51446459489133
"nTotal_child_5yo_andBelow_sleep","lombok","2",-1.54540729835656
"nTotal_child_5yo_andBelow_sleep","sumbawa","2",1.54540729835656
"nTotal_child_5yo_andBelow_sleep","lombok","3",-1.54540729835656
"nTotal_child_5yo_andBelow_sleep","sumbawa","3",1.54540729835656
"contact_kindergarten","lombok","no",-2.88378924382517
"contact_kindergarten","sumbawa","no",2.88378924382517
"contact_kindergarten","lombok","yes",2.88378924382517
"contact_kindergarten","sumbawa","yes",-2.88378924382517
"contact_otherChildren","lombok","no",7.59748165954137
"contact_otherChildren","sumbawa","no",-7.59748165954137
"contact_otherChildren","lombok","yes",-7.59748165954138
"contact_otherChildren","sumbawa","yes",7.59748165954138
"contact_cigarettes","lombok","no",6.22556798752063
"contact_cigarettes","sumbawa","no",-6.22556798752063
"contact_cigarettes","lombok","yes",-6.22556798752063
"contact_cigarettes","sumbawa","yes",6.22556798752063
"contact_cooking_fuel","lombok","kayu",-2.20868238524814
"contact_cooking_fuel","sumbawa","kayu",2.20868238524814
"contact_cooking_fuel","lombok","lpg/gas alam",2.87048597920374
"contact_cooking_fuel","sumbawa","lpg/gas alam",-2.87048597920374
"contact_cooking_fuel","lombok","minyak tanah",-1.89554413232815
"contact_cooking_fuel","sumbawa","minyak tanah",1.89554413232815
"contact_cooking_place","lombok","di dalam rumah",-4.82907147192792
"contact_cooking_place","sumbawa","di dalam rumah",4.82907147192792
"contact_cooking_place","lombok","di luar rumah",4.82907147192792
"contact_cooking_place","sumbawa","di luar rumah",-4.82907147192792
"hospitalised_last_3mo","lombok","no",-0.472466435456586
"hospitalised_last_3mo","sumbawa","no",0.472466435456586
"hospitalised_last_3mo","lombok","unknown",-0.731432790191841
"hospitalised_last_3mo","sumbawa","unknown",0.731432790191841
"hospitalised_last_3mo","lombok","yes",1.16319718421333
"hospitalised_last_3mo","sumbawa","yes",-1.16319718421333
"hospitalised_last_3mo_n","lombok","0",-1.16319718421332
"hospitalised_last_3mo_n","sumbawa","0",1.16319718421332
"hospitalised_last_3mo_n","lombok","1",1.16319718421333
"hospitalised_last_3mo_n","sumbawa","1",-1.16319718421333
"hospitalised_last_3mo_illness","lombok","demam dan kejang",0.935414346693485
"hospitalised_last_3mo_illness","sumbawa","demam dan kejang",-0.935414346693485
"hospitalised_last_3mo_illness","lombok","diare",0.440958551844099
"hospitalised_last_3mo_illness","sumbawa","diare",-0.440958551844099
"hospitalised_last_3mo_illness","lombok","fharotitis",-1.24721912892465
"hospitalised_last_3mo_illness","sumbawa","fharotitis",1.24721912892465
"hospitalised_last_3mo_illness","lombok","kejang-kejang",0.935414346693485
"hospitalised_last_3mo_illness","sumbawa","kejang-kejang",-0.935414346693485
"hospitalised_last_3mo_illness","lombok","penyakit jantung bawaan",-1.24721912892465
"hospitalised_last_3mo_illness","sumbawa","penyakit jantung bawaan",1.24721912892465
"healthcareVisit_last_3mo","lombok","no",2.04503077883288
"healthcareVisit_last_3mo","sumbawa","no",-2.04503077883288
"healthcareVisit_last_3mo","lombok","yes",-2.04503077883288
"healthcareVisit_last_3mo","sumbawa","yes",2.04503077883288
"healthcareVisit_last_3mo_n","lombok","0",2.03389609726634
"healthcareVisit_last_3mo_n","sumbawa","0",-2.03389609726634
"healthcareVisit_last_3mo_n","lombok","1",-2.7128427392274
"healthcareVisit_last_3mo_n","sumbawa","1",2.7128427392274
"healthcareVisit_last_3mo_n","lombok","2",1.85163515051005
"healthcareVisit_last_3mo_n","sumbawa","2",-1.85163515051005
"healthcareVisit_last_3mo_reason","lombok","batuk",-0.923813986689804
"healthcareVisit_last_3mo_reason","sumbawa","batuk",0.923813986689804
"healthcareVisit_last_3mo_reason","lombok","batuk dan demam",1.26100097414321
"healthcareVisit_last_3mo_reason","sumbawa","batuk dan demam",-1.26100097414321
"healthcareVisit_last_3mo_reason","lombok","batuk dan pilek",-2.10611355005239
"healthcareVisit_last_3mo_reason","sumbawa","batuk dan pilek",2.10611355005239
"healthcareVisit_last_3mo_reason","lombok","batuk, pilek",1.26100097414321
"healthcareVisit_last_3mo_reason","sumbawa","batuk, pilek",-1.26100097414321
"healthcareVisit_last_3mo_reason","lombok","batuk, pilek dan demam",-0.810643483377778
"healthcareVisit_last_3mo_reason","sumbawa","batuk, pilek dan demam",0.810643483377777
"healthcareVisit_last_3mo_reason","lombok","batuk, pilek dan diare",1.26100097414321
"healthcareVisit_last_3mo_reason","sumbawa","batuk, pilek dan diare",-1.26100097414321
"healthcareVisit_last_3mo_reason","lombok","cacingan",1.26100097414321
"healthcareVisit_last_3mo_reason","sumbawa","cacingan",-1.26100097414321
"healthcareVisit_last_3mo_reason","lombok","demam",2.74267017067252
"healthcareVisit_last_3mo_reason","sumbawa","demam",-2.74267017067252
"healthcareVisit_last_3mo_reason","lombok","diare",1.53834215915688
"healthcareVisit_last_3mo_reason","sumbawa","diare",-1.53834215915688
"healthcareVisit_last_3mo_reason","lombok","gatal-gatal",1.26100097414321
"healthcareVisit_last_3mo_reason","sumbawa","gatal-gatal",-1.26100097414321
"healthcareVisit_last_3mo_reason","lombok","mual muntah",-0.810643483377778
"healthcareVisit_last_3mo_reason","sumbawa","mual muntah",0.810643483377777
"healthcareVisit_last_3mo_reason","lombok","pilek",-0.606013577849681
"healthcareVisit_last_3mo_reason","sumbawa","pilek",0.60601357784968
"healthcareVisit_last_3mo_reason","lombok","ruam",-2.10611355005239
"healthcareVisit_last_3mo_reason","sumbawa","ruam",2.10611355005239
"healthcareVisit_last_3mo_reason","lombok","sariawan",-0.810643483377778
"healthcareVisit_last_3mo_reason","sumbawa","sariawan",0.810643483377777
"illness_past3days_fever","lombok","no",-0.111874452372064
"illness_past3days_fever","sumbawa","no",0.111874452372064
"illness_past3days_fever","lombok","unknown",1.30183766981123
"illness_past3days_fever","sumbawa","unknown",-1.30183766981123
"illness_past3days_fever","lombok","yes",-0.351845354178917
"illness_past3days_fever","sumbawa","yes",0.351845354178917
"illness_past3days_fever_nDays","lombok","0",-6.44844944723293
"illness_past3days_fever_nDays","sumbawa","0",6.44844944723293
"illness_past3days_fever_nDays","lombok","1",0.836910485778849
"illness_past3days_fever_nDays","sumbawa","1",-0.836910485778849
"illness_past3days_fever_nDays","lombok","2",-1.18239666496158
"illness_past3days_fever_nDays","sumbawa","2",1.18239666496158
"illness_past3days_fever_nDays","lombok","3",-0.645627794907396
"illness_past3days_fever_nDays","sumbawa","3",0.645627794907396
"illness_past3days_fever_nDays","lombok","7",-1.54540729835656
"illness_past3days_fever_nDays","sumbawa","7",1.54540729835656
"illness_past3days_fever_nDays","lombok","no",5.81607755895198
"illness_past3days_fever_nDays","sumbawa","no",-5.81607755895198
