"variable","chisq_stat","chisq_df","chisq_p","chisq_method","fisher_or","fisher_or_lo","fisher_or_hi","fisher_p","fisher_method","significance"
"serotype_final_decision",628,78,7.1145031432051e-87,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_gpsc_strain",310.417245702694,78,1.78162343792858e-29,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_MLST_dc_ST",198.02150484705,84,3.35673368058842e-11,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"area",8.18360169178883,2,0.0167091159053166,"Pearson's Chi-squared test",NA,NA,NA,0.0174680210569931,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_logic_class_amphenicols",4.93946153846154,2,0.0846076349140696,"Pearson's Chi-squared test",NA,NA,NA,0.104411895316706,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_logic_class_lincosamides",3.61560820132249,2,0.164013899670452,"Pearson's Chi-squared test",NA,NA,NA,0.133139789349089,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_logic_class_macrolides",32.7066283342726,2,7.90398115981501e-08,"Pearson's Chi-squared test",NA,NA,NA,1.78474092036535e-07,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_logic_class_quinolones",1.22833662064431,2,0.541090727795954,"Pearson's Chi-squared test",NA,NA,NA,0.999999999999798,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_logic_class_tetracyclines",34.4934677888249,2,3.23473448723065e-08,"Pearson's Chi-squared test",NA,NA,NA,7.72768838672023e-08,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_logic_class_carbapenems",5.0225897004032,2,0.081163077144201,"Pearson's Chi-squared test",NA,NA,NA,0.0762804989723437,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_logic_class_cephalosporins",9.04981969486824,2,0.010835691257774,"Pearson's Chi-squared test",NA,NA,NA,0.00508666840273284,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_logic_class_penicillins",5.0225897004032,2,0.081163077144201,"Pearson's Chi-squared test",NA,NA,NA,0.0762804989723437,"Fisher's Exact Test for Count Data","no"
"workWGS_AMR_logic_class_antifolates",25.0739926739927,2,3.59129988157559e-06,"Pearson's Chi-squared test",NA,NA,NA,3.64418353522628e-06,"Fisher's Exact Test for Count Data","occur"
"workWGS_AMR_logic_class_counts",148.327254578801,12,1.23820454793209e-25,"Pearson's Chi-squared test",NA,NA,NA,NA,NA,"occur"
"workWGS_AMR_MDR_flag",48.4559741354107,2,3.00551506279843e-11,"Pearson's Chi-squared test",NA,NA,NA,2.97522889298062e-10,"Fisher's Exact Test for Count Data","occur"
